
anyvc 37 "['apipkg'  'py>=1.3']"
anz.cas 16 "['setuptools'  '# -*- Extra requirements: -*-\n          ZODB3>=3.8.3'  'zope.proxy>=3.4.1'  'zope.bforest'  'uuid']"
anz.casclient 16 "['setuptools'  '# -*- Extra requirements: -*-\n          ZODB3>=3.8.3'  'zope.proxy>=3.4.1'  'zope.bforest']"
apache_conf_parser 208 []
apache-libcloud 66029 []
apachelog 59 []
apachemiddleware 14 []
apibee 14 []
apiclient 87472 []
apio 886 []
apns 7372 []
app55 26 []
appendonly 21 []
appfy.recipe.gae 553 "['setuptools'  'zc.buildout >= 1.5.2'  'z3c.recipe.scripts >= 1.0.1']"
AppInst 16 []
AppKit 761 []
applause 16 ['github2']
applib 451 "['appdirs'  'six>=1.0.0']"
app-monitor 22 []
appomatic 34 []
appomatic_admin 98 []
appomatic_appadmin 79 []
appomatic_cmsplugin_phlog 68 []
appomatic_cms_tagging 63 []
appomaticcore 73 []
appomatic_django_cms 71 []
appomatic_django_filer 53 []
appomatic_django_vcs 55 []
appomatic_photolog 85 []
appomatic_tagging 69 []
appscript 2538 []
appsettings 262 ['pyyaml>=3.0']
appspace 83 []
AppState 19 []
apptrace 21 "['distribute'  'guppy']"
appy 342 []
appypi 30 "['blessings'  'fabric'  'sqlalchemy']"
APScheduler 744957 []
aptdaemon 23 []
aptop 22 ['lxml']
apt-wrapper 117 []
apush 16 []
apy 25 "['flask>=0.8.0'  'oauth2>=1.5']"
apyclient 17 ['apysigner']
apycot 53 []
apyrtium 11 []
apysigner 46 []
aranha 12 "['# -*- Extra requirements: -*-\n      gevent'  'httplib2']"
archery 31 []
archetypes.configure 29 "['setuptools'  '# -*- Extra requirements: -*-']"
archetypes.fieldtraverser 14 "['setuptools'  '# -*- Extra requirements: -*\n        Products.Archetypes']"
archetypes.ldapstorage 11 "['setuptools'  'Products.ldapconnection'  'python-ldap'  '# -*- Extra requirements: -*-']"
archetypes.memberdatastorage 16 "['setuptools'  '# -*- Extra requirements: -*-']"
archetypes.multilingual 1054 "['setuptools'  'Products.ATContentTypes'  'plone.multilingual'  'collective.monkeypatcher'  'Products.PloneLanguageTool\n          # -*- Extra requirements: -*-']"
archetypes.recurringdate 11 "['setuptools'  'python-dateutil'  'p4a.common']"
archetypes.rolefield 11 "['setuptools'  '# -*- Extra requirements: -*-']"
archetypes.searchwidget 20 "['setuptools'  '# -*- Extra requirements: -*-\n          collective.searchtool'  'collective.jqueryui']"
archetypes.uploadreferencewidget 12 "['setuptools'  'archetypes.referencebrowserwidget']"
archgenxml 53 "['setuptools'  '# -*- Extra requirements: -*-\n          xmiparser<1.9999'  'zope.interface'  'zope.component'  'zope.documenttemplate'  'stripogram'  'i18ndude'  'ordereddict']"
Archive 1484 []
archiwe 8 []
arcs.gsi 4 "['setuptools'  '# -*- Extra requirements: -*-']"
arcs.shibboleth.client 1 "['setuptools'  '# -*- Extra requirements: -*-']"
arcus 245 []
argcomplete 3074666 ['distribute']
arges 23 []
argfarce 10 []
argparse_config 40 []
argproc 99 []
args 180234 []
argscript 10 []
argue 143 []
argvalidate 24 []
argyle 64 "['fabric>=1.1.0'  'jinja2>=2.3']"
Arm4 13 []
armsim 17 ['zope.component']
armstrong.apps.articles 63 []
armstrong.apps.content 39 []
armstrong.apps.crm 11 []
armstrong.apps.donations 54 []
armstrong.apps.events 32 []
armstrong.apps.images 31 []
armstrong.cli.experimental 12 []
armstrong.core.arm_access 64 []
armstrong.core.arm_content 85 []
armstrong.core.arm_layout 52 []
armstrong.core.arm_sections 97 []
armstrong.core.arm_wells 101 []
armstrong.dev 47 []
armstrong.esi 16 []
armstrong.hatband 52 []
armstrong.templates.paywall 9 []
armstrong.templates.standard 18 []
armstrong.templates.tutorial 14 []
armstrong.utils.backends 18 []
armstrong.utils.celery 21 []
armstrong.utils.importers.wordpress 16 []
arouter 1 []
arpy 2411 []
arrow 2114440 ['python-dateutil']
ARS 82 []
Art3dUtils 32 "['""sqlalchemy""'  'mako'  'reportlab'  'pyPdf']"
artichoke 20 ['webob']
arxiv2bib 520 []
asana 132541 []
asciiporn3k 12 []
asciitable 1073 []
asciitomathml 36 []
ashd-py 10 []
asibsync 14 "['asilib >=1.0.2'  'kpwrapper >=1.0.3']"
asiconsole 10 "['ipython'  'asilib >=1.0.2']"
asm2d 27 []
asm.cms 22 "['setuptools'  'grok'  'grokui.admin'  'ZODB3'  'megrok.pagelet'  'zc.sourcefactory'  'zope.app.container'  'zope.app.form'  'zope.app.generations'  'zope.app.testing'  'zope.deferredimport'  'zope.event'  'zope.interface'  'zope.lifecycleevent'  'zope.schema'  'zope.traversing'  'zope.app.undo'  'magic'  'lxml'  'BareNecessities'  'hurry.zoperesource'  'hurry.tinymce'  'hurry.query'  'z3c.baseregistry']"
asm.translation 26 "['ZODB3'  'asm.cms'  'setuptools'  'grok'  'zope.interface'  'zope.schema']"
asm.workflow 21 "['setuptools'  'grok'  'zope.deferredimport'  'asm.cms'  'zope.component'  'zope.event']"
assembla 52 []
assentio 12 "['setuptools'  'blinker'  'Flask'  'WTForms==1.0.1'  'Flask-admin==1.0.1'  'Flask-login'  'Flask-sqlalchemy'  'Flask-bcrypt'  'Flask-DebugToolbar'  'Flask-Script']"
assert_changes 13 []
assertlib 57 ['distribute']
assert-select 20 "['beautifulsoup4'  'html5lib']"
Assessor 40 "['""Django""'  '""uWSGI""']"
asset_bundles 22 "['""django""']"
assetgen 110 "['""Mako >= 0.7.2""'  '""PyYAML >= 3.09""'  '""requests >= 0.14.1""'  '""simplejson >= 2.1.6""'  '""tavutil >= 1.0""']"
assignmentprint 14 []
Assimulo 201 []
ast2src 12 []
astdump 27 []
asteval 93633 []
astkit 86 ['# -*- Extra requirements: -*-']
astLib 294 []
asv_files 28 []
asv_media 31 []
asv_seo 38 []
asv_txt 30 []
asv_utils 23 []
async 78265 []
asynchttp 350 ['httplib2>=0.5.0']
async_subprocess 17 []
asyncthreads 10 []
athletelist 15 []
atinline 15 []
atomicfile 193 []
atomisator.outputs 21 "['setuptools'  '# -*- Extra requirements: -*-']"
atomize 70 []
atompiglet 15 []
atreal.massloader 33 "['setuptools'  'pylzma'  '# -*- Extra requirements: -*-']"
atropine 13 []
Attest-latest 14 "['progressbar>=2.3'  'Pygments'  'six']"
attowiki 39 []
attr_ns 15 []
audiolazy 159 []
audioread 251694 []
audiosocket 16 []
aufmachen 14 []
auf-refer 14 []
Augment 478 []
au-skema 12 "['open(""requirements.txt"").readlines()']"
auslfe.formonline.tokenaccess 15 "['setuptools'  'auslfe.formonline.pfgadapter>=0.4.1'  'auslfe.formonline.content>=0.4.0'  'collective.powertoken.workflow>=0.2.0'  'collective.powertoken.view']"
AuthBWC 115 "['CommonBWC>=0.1.0'  'DataGridBWC>=0.1.0'  'BlazeWeb>=0.3.1'  '# need for control panel code.  This should go away eventually'  'see\n        # #5607.\n        BaseBWA']"
auth.credential 14 []
authenticity 13 []
authlib 668234 []
AuthorizeSauce 843 ['suds>=0.4']
authres 3545 []
AuthRPC 25 []
AuthServerClient 18 []
autobreadcrumbs 1457 []
autocheck 34 ['line.strip() for line in open(requirements.txt)']
autoenv 3818 []
autoflake 225493 ['pyflakes']
Autograde 16 "['""Django >= 1.4.1""'  '""django-extensions >= 0.9""'  '""django-tastypie >= 0.9.11""'  '""requests >= 0.14.0""']"
autoinstall 21 []
autojenkins 454 "['requests'  'jinja2']"
automa 59 "['setuptools'  'CmdUtils'  'virtualenv>=1.5.1']"
automain 14 []
autoneg 29 "['""flup""']"
AutoNetkit 138 []
autopep8 1216786 ['pep8 >= 1.3.2']
autoreport 13 "['Django>=1.1.1'  'relatorio>=0.5']"
autorm 17 []
autoscalebot 16 "['""heroku""']"
autosuper 12 []
avi2mkv 18 []
aweber_api 629 []
awslib 19 ['boto']
awssh 15 []
aws-trade-in 14 []
