,setuptools,six,Degree,HIT,Closeness,Betweenness,PageRank,classification
0,False,False,3,4.420633984527954e-07,0.22459075901048736,0.0008048576267180278,0.00029091671185652485,baja
1,False,False,62,1.7089664794034724e-05,0.28125021156033364,0.03769708855440474,0.005933608384053163,baja
2,False,False,1,3.4666262545512203e-07,0.20061546407693617,0.0,0.0001212090313342469,baja
3,False,False,17,1.4268786743231522e-05,0.25099880889341125,0.009483177771110188,0.0015484142338810373,baja
4,True,False,1,0.0005572486880002166,0.3093173364050281,0.0,0.00010846183174259837,baja
5,False,False,1575,0.022936602073815836,0.4479588593199455,0.792003657202245,0.12044778617997676,alta
6,True,False,1,0.0005572486880002166,0.3093173364050281,0.0,0.00010846183174259837,baja
7,False,False,1,1.0093223968540497e-08,0.17998138733743255,0.0,0.00015067622906167483,baja
8,False,False,2,4.1544155868404904e-07,0.2195123602422116,0.0005771999991320303,0.00025394860038147445,baja
9,False,False,2,3.657591981238159e-07,0.20548205004182052,5.3170833070662625e-05,0.00018688677395079734,baja
10,False,False,6,6.13425766300474e-07,0.19491301109093565,0.0002988214986452566,0.0005112960945706938,baja
11,False,False,10,1.4441384340768905e-05,0.25346553719496734,0.006637840649713286,0.0008299419137220301,baja
12,True,False,2,0.0005579329816636852,0.3094558201695361,0.0005707361057200322,0.00019477319859891387,baja
13,False,False,4,2.8165829367341438e-05,0.23651810838032986,0.0005777563901086362,0.00040548371371059317,baja
14,True,False,2,0.0006361666332286516,0.31059608157215596,2.4232058310411493e-05,0.00014924610406956271,baja
15,False,False,185,0.003248297476497971,0.283883900086527,0.017155619975621404,0.008861140601067383,baja
16,True,False,6,0.0006758518875568554,0.31048446677328,0.0006807637640190633,0.00035833685966684206,baja
17,False,False,2,1.6576475518914353e-05,0.23913663158409768,2.7447800802608266e-05,0.00016962836293944142,baja
18,False,False,14,0.0002621263816938629,0.2549990850478403,9.550466813573496e-05,0.0007110540610098821,baja
19,True,False,151,0.0033245638828166215,0.3368423586406803,0.011037049665812254,0.0070073450044459305,baja
20,True,False,28,0.0011612710563412441,0.32350487687478985,0.0003902444944424697,0.001322545085695722,baja
21,False,False,8,0.0001172222832022871,0.24559427228918274,0.00014007520381397086,0.0005138078873026651,baja
22,True,False,1,0.0005572486880002166,0.3093173364050281,0.0,0.00010846183174259837,baja
23,True,False,4,0.0005600349632564199,0.31107134110291446,0.0015984974020952756,0.0003416522994979576,baja
24,False,False,1,1.3606145542342572e-05,0.2372324684001496,0.0,0.00011570293867929239,baja
25,False,False,12,5.904261561130312e-05,0.262574274400044,0.004082743174410667,0.0009120595948462841,baja
26,False,False,4,4.203555876903965e-05,0.23785289742968888,0.000356861381038677,0.00032665571747094455,baja
27,False,False,4,9.974406437387026e-07,0.19899824953379278,0.0007155594153022825,0.00041253441426708336,baja
28,False,False,7,1.3683110759329216e-05,0.24326054759297386,0.002144764131875942,0.0006833164717430339,baja
29,False,False,3,1.9813424246847214e-07,0.18958816170132095,0.0007142104170768516,0.00032602094293276344,baja
30,False,False,1,2.4232991608700726e-08,0.16595450658599661,0.0,0.0001306661900209865,baja
31,False,False,3,2.714961935323296e-05,0.23811510263561939,0.0006976256733211748,0.00028738253534693213,baja
32,True,False,7,0.000613214975169557,0.31732647136657605,0.001692388504335958,0.0004662019029381891,baja
33,True,False,56,0.001220835679894827,0.31890768659715596,0.008623048724988706,0.0031849800229341654,baja
34,False,False,2,2.1346206336707582e-05,0.26460474693004976,5.212598279658397e-05,0.00016961654427984974,baja
35,False,False,18,0.00027954816352086787,0.24618910098684854,8.743325195756085e-05,0.0011505916611382068,baja
36,False,False,38,0.00022705855052312856,0.26851080721415427,0.019855406947266462,0.002930651797345184,baja
37,False,False,25,0.000359074764561447,0.24585634201133807,9.676412715029166e-05,0.0016786021137062722,baja
38,False,False,14,0.0001957337361957711,0.24171230938966148,2.267579659837659e-05,0.0009872923663066567,baja
39,False,False,1,1.3711550627448794e-05,0.23627555887423118,0.0,0.00011777626873085282,baja
40,False,False,0,0.0,0.0,0.0,4.334696354520367e-05,baja
41,True,False,4,0.0006040258427797308,0.31151997472988824,0.0002428310303160168,0.0002545931756583813,baja
42,False,False,2,3.0113787269794967e-05,0.24360348203660956,1.06361916824758e-06,0.0001490489366815601,baja
43,True,False,23,0.0010829621688123242,0.32068317710433136,0.0016966562699854309,0.0010550329168751522,baja
44,True,False,8,0.0008122924032581103,0.31718085532795337,0.00011825010879833657,0.0004120465433046416,baja
45,True,False,6,0.0006354709481420846,0.32205783241574687,0.0026715328268945415,0.00036514942742683286,baja
46,True,False,17,0.0010041991355117146,0.3199409923767247,0.00018645384438619494,0.0007843748225995192,baja
47,False,False,108,0.00029009529360063223,0.2969074398327646,0.07843649148459524,0.00901528046143302,baja
48,False,False,1,3.420068463694285e-07,0.20355769817725172,0.0,0.00012515831776873927,baja
49,False,False,7,1.4077152820106973e-05,0.25562149405720264,0.001584749430082762,0.000669734962085802,baja
50,False,False,2,6.790050120605306e-06,0.22766815544488667,0.0001647083932259518,0.00019489856668119973,baja
51,False,False,80,0.0002654043086447728,0.2935782024849966,0.05909703703754899,0.006534325276749842,baja
52,False,False,2,7.863935954351918e-06,0.23955102236455117,0.00047183505697122877,0.0001944892223091731,baja
53,False,False,114,3.358778291900582e-05,0.2915473763837843,0.08506369224551415,0.010625770332366957,alta
54,False,False,1,4.867138867067296e-07,0.20097712256649103,0.0,0.00011715375882099174,baja
55,False,False,7,2.0033358508612075e-05,0.25156519141457123,0.0021734543768549054,0.0006050301969690632,baja
